staff_id,qualification
T01,MA_LICENSE
T01,PT_LICENSE
T02,AT_LICENSE
T02,OT_LICENSE
T02,PT_LICENSE
T03,AT_LICENSE
T03,PT_LICENSE
T03,ST_LICENSE
T04,AT_LICENSE
T04,OT_LICENSE
T04,PT_LICENSE
T04,ST_LICENSE
T05,MA_LICENSE
T05,OT_LICENSE
T05,PT_LICENSE
T06,MA_LICENSE
T06,OT_LICENSE
T06,PT_LICENSE
T07,AT_LICENSE
T07,OT_LICENSE
T07,PT_LICENSE
T08,OT_LICENSE
T08,PT_LICENSE
T08,ST_LICENSE
T09,MA_LICENSE
T09,PT_LICENSE
T10,PT_LICENSE
T11,AT_LICENSE
T11,PT_LICENSE
T12,MA_LICENSE
T12,PT_LICENSE
T12,ST_LICENSE
T13,AT_LICENSE
T13,OT_LICENSE
T13,PT_LICENSE
T14,OT_LICENSE
T14,PT_LICENSE
T15,MA_LICENSE
T15,PT_LICENSE
T16,MA_LICENSE
T16,PT_LICENSE
T17,MA_LICENSE
T17,PT_LICENSE
T18,OT_LICENSE
T18,PT_LICENSE
T18,ST_LICENSE
T19,OT_LICENSE
T19,PT_LICENSE
T19,ST_LICENSE
T20,MA_LICENSE
T20,OT_LICENSE
T20,PT_LICENSE
T21,AT_LICENSE
T21,OT_LICENSE
T21,PT_LICENSE
T22,MA_LICENSE
T22,OT_LICENSE
T22,PT_LICENSE
T22,ST_LICENSE
T23,MA_LICENSE
T23,OT_LICENSE
T23,PT_LICENSE
T24,OT_LICENSE
T24,PT_LICENSE
T25,MA_LICENSE
T25,OT_LICENSE
T25,PT_LICENSE
T26,AT_LICENSE
T26,OT_LICENSE
T26,PT_LICENSE
T27,OT_LICENSE
T27,PT_LICENSE
T28,MA_LICENSE
T28,OT_LICENSE
T28,PT_LICENSE
T29,MA_LICENSE
T29,OT_LICENSE
T29,PT_LICENSE
T29,ST_LICENSE
T30,OT_LICENSE
T30,PT_LICENSE
T30,ST_LICENSE
T31,AT_LICENSE
T31,MA_LICENSE
T31,OT_LICENSE
T31,PT_LICENSE
T32,AT_LICENSE
T32,OT_LICENSE
T32,PT_LICENSE
T32,ST_LICENSE
T33,MA_LICENSE
T33,PT_LICENSE
T34,AT_LICENSE
T34,OT_LICENSE
T34,PT_LICENSE
T35,MA_LICENSE
T35,OT_LICENSE
T35,PT_LICENSE
T35,ST_LICENSE
