staff_id,day,shift
T01,0,off
T01,1,late
T01,2,early
T01,3,late
T01,4,late
T01,5,late
T01,6,off
T02,0,early
T02,1,early
T02,2,early
T02,3,early
T02,4,early
T02,5,off
T02,6,off
T03,0,early
T03,1,late
T03,2,early
T03,3,late
T03,4,late
T03,5,early
T03,6,late
T04,0,late
T04,1,early
T04,2,late
T04,3,late
T04,4,late
T04,5,late
T04,6,early
T05,0,early
T05,1,late
T05,2,early
T05,3,late
T05,4,early
T05,5,early
T05,6,early
T06,0,late
T06,1,late
T06,2,late
T06,3,early
T06,4,early
T06,5,late
T06,6,late
T07,0,early
T07,1,early
T07,2,late
T07,3,late
T07,4,late
T07,5,late
T07,6,early
T08,0,late
T08,1,early
T08,2,early
T08,3,early
T08,4,early
T08,5,early
T08,6,late
T09,0,early
T09,1,late
T09,2,early
T09,3,early
T09,4,late
T09,5,early
T09,6,late
T10,0,early
T10,1,late
T10,2,off
T10,3,early
T10,4,early
T10,5,off
T10,6,late
T11,0,early
T11,1,early
T11,2,late
T11,3,early
T11,4,late
T11,5,early
T11,6,early
T12,0,early
T12,1,late
T12,2,late
T12,3,late
T12,4,early
T12,5,off
T12,6,off
T13,0,early
T13,1,late
T13,2,early
T13,3,late
T13,4,early
T13,5,early
T13,6,late
T14,0,late
T14,1,late
T14,2,late
T14,3,early
T14,4,early
T14,5,off
T14,6,off
T15,0,early
T15,1,late
T15,2,early
T15,3,early
T15,4,early
T15,5,off
T15,6,off
